  KIC   numax  e_numax   dnu e_dnu  dpi e_dpi  q e_q   eps_g e_eps_g    rot  e_rot
  3455906   45.90  0.60   4.70 0.04  313.89 0.43  0.26 0.03  -0.239 0.103    50  12
  3456216   54.90  0.66   5.11 0.04  328.94 0.67  0.22 0.03  -0.214 0.114    30   7
  3456449   56.10  0.68   5.28 0.04  326.35 0.36  0.22 0.03  -0.296 0.062    30   7
  3456587   89.90  1.13   8.47 0.05   73.64 0.03  0.15 0.02   0.121 0.062   340  14
  3457190   31.10  0.49   3.88 0.04  294.28 0.23  0.35 0.04  -0.080 0.087    28   7
  3457392   34.60  0.52   4.08 0.04  276.95 0.21  0.35 0.04  -0.070 0.075    55  13
  3525569  153.30  1.95  12.91 0.07   82.14 0.04  0.18 0.02   0.295 0.039   290  14
  3526995   34.60  0.52   4.16 0.04  248.84 0.13  0.22 0.03   0.011 0.065    30   7
  3527156   32.30  0.51   4.07 0.04  298.42 0.14  0.32 0.04   0.038 0.057    30   7
  3528900   29.50  0.50   3.94 0.04  335.50 0.28  0.33 0.05  -0.289 0.089    10   7
  3529399  124.50  1.48  10.83 0.05   79.11 0.07  0.13 0.02   0.176 0.084   500  20
  3529456   30.30  0.50   3.97 0.04  285.80 0.15  0.34 0.05  -0.178 0.063    30   7
  3529480   44.20  0.58   4.57 0.04  269.77 0.21  0.30 0.03   0.057 0.071    30   7
  3529597   50.10  0.62   4.89 0.04  238.07 0.20  0.20 0.03  -0.120 0.078    40  10
  3530333  134.20  1.56  11.08 0.05   77.23 0.04  0.14 0.02   0.207 0.048   420  16
  3531436  176.60  2.20  13.70 0.07   79.45 0.05  0.16 0.02   0.319 0.049   360  16
  3531478  232.26  2.92  17.35 0.08   87.12 0.16  0.16 0.02   0.297 0.087   290  28
  3532085  104.70  1.26   9.53 0.04   76.92 0.03  0.14 0.02   0.164 0.059   400  14
  3532734  145.20  1.67  11.83 0.05   75.84 0.04  0.14 0.02   0.315 0.048   550  17
  3539261   27.30  0.49   3.86 0.04  254.69 0.11  0.24 0.03  -0.308 0.070    10   7
  3539429  113.40  1.33   9.92 0.05   77.53 0.07  0.12 0.02   0.296 0.106   420  20
  3541061   38.50  0.56   4.44 0.04  325.12 0.15  0.33 0.04  -0.012 0.037    30   7
  3541897   45.30  0.58   4.55 0.04  258.11 0.30  0.29 0.03  -0.071 0.100    30   7
  3544121   28.00  0.46   3.69 0.04  320.43 0.45  0.34 0.04  -0.099 0.144    25   7
