 KIC incl e_incl_pos e_incl_neg n_comp
 7869863 70.4 19.6  5.5 2
 7870694 29.4 12.7 29.4 1
 7872097 66.6 23.4  7.2 2
 7878297 39.2 17.4 39.2 1
 7878388 68.2 21.8  6.7 2
 7880417 75.6  7.0  7.0 2
 7884986 57.3 15.0 15.0 3
 7888957 37.3 16.5 37.3 1
 7937449 72.5 17.4  6.5 2
 7941429 54.8 14.6 14.6 3
 7955078 22.4  9.5 22.4 1
 7955597 42.6 13.6 13.6 3
 7957377 30.0 13.0 30.0 1
 7957918 66.9 23.1 10.9 2
 7969053 71.2 18.8  7.1 2
 7983015 23.1  9.8 23.1 1
 7983431 63.4 10.1 10.1 3
 7985382 32.4 14.1 32.4 1
 8004637 48.6 14.8 14.8 3
 8004863 31.1 13.5 31.1 1
 8007218 77.0 13.0  6.4 2
 8009740 71.7 18.3 11.8 2
 8009745 67.0 23.0  6.1 2
 8016650 33.0 14.4 33.0 1
 8017348 73.0 17.0  7.4 2
 8017898 75.9 14.1  5.6 2
 8025991 30.8 13.3 30.8 1
 8026963 42.6 13.8 13.8 3
 8040267 79.4 10.6  8.0 2
 8043596 27.8 14.1 14.1 3
 8053949 71.5 18.5  6.3 2
 8054055 27.3 11.7 27.3 1
 8055108 38.1 17.2 17.2 3
 8058062 78.6 11.4  5.1 2
 8073887 72.2  9.7  9.7 2
 8077790 42.9 16.6 16.6 3
 8081497 60.5  5.8  5.8 3
 8086682 59.6 11.8 11.8 3
 8087067 20.9  8.8 20.9 1
 8098454 67.5  8.6  8.6 3
 8098608 23.4 10.0 23.4 1
 8099364 68.2 11.3 11.3 3
 8110026 37.2 16.5 37.2 1
 8110809 65.7 24.3  6.9 2
 8111555 70.2 19.8  7.5 2
 8115488 54.2 15.7 15.7 3
 8123432 33.3 14.5 33.3 1
 8127707 68.1  8.4  8.4 3
 8142438 75.1 14.9  6.1 2
 8144467 17.2  7.2 17.2 1
 8144802 73.7 16.3  5.6 2
 8154682 74.8 15.2  5.2 2
 8154693 70.5  9.0  9.0 2
 8155782 33.6 14.6 33.6 1
